iso_time,epoch_seconds,sample_index,q1_raw,q1_voltage_mv,q1_notch,q1_notch_mv
2026-09-09T14:28:01.361,1788944281.3618,4538,0,0.0,0,0.0
2026-09-09T14:28:01.377,1788944281.3778,4539,0,0.0,0,0.0
2026-09-09T14:28:01.377,1788944281.3778,4540,0,0.0,0,0.0
2026-09-09T14:28:01.393,1788944281.3935,4541,0,0.0,0,0.0
2026-09-09T14:28:01.409,1788944281.4093,4542,0,0.0,0,0.0
2026-09-09T14:28:01.409,1788944281.4093,4543,0,0.0,0,0.0
2026-09-09T14:28:01.425,1788944281.4253,4544,0,0.0,0,0.0
2026-09-09T14:28:01.441,1788944281.4412,4545,0,0.0,0,0.0
2026-09-09T14:28:01.444,1788944281.4447,4546,0,0.0,0,0.0
2026-09-09T14:28:01.457,1788944281.4575,4547,0,0.0,0,0.0
2026-09-09T14:28:01.473,1788944281.4733,4548,0,0.0,0,0.0
2026-09-09T14:28:01.473,1788944281.4733,4549,0,0.0,0,0.0
2026-09-09T14:28:01.489,1788944281.4890,4550,0,0.0,0,0.0
2026-09-09T14:28:01.489,1788944281.4890,4551,0,0.0,0,0.0
2026-09-09T14:28:01.505,1788944281.5051,4552,0,0.0,0,0.0
2026-09-09T14:28:01.521,1788944281.5211,4553,0,0.0,0,0.0
2026-09-09T14:28:01.521,1788944281.5211,4554,0,0.0,0,0.0
2026-09-09T14:28:01.536,1788944281.5367,4555,0,0.0,0,0.0
2026-09-09T14:28:01.552,1788944281.5527,4556,0,0.0,0,0.0
2026-09-09T14:28:01.559,1788944281.5590,4557,0,0.0,0,0.0
2026-09-09T14:28:01.569,1788944281.5698,4558,0,0.0,0,0.0
2026-09-09T14:28:01.569,1788944281.5698,4559,0,0.0,0,0.0
2026-09-09T14:28:01.584,1788944281.5844,4560,0,0.0,0,0.0
2026-09-09T14:28:01.600,1788944281.6004,4561,0,0.0,0,0.0
2026-09-09T14:28:01.600,1788944281.6004,4562,0,0.0,0,0.0
2026-09-09T14:28:01.616,1788944281.6164,4563,0,0.0,0,0.0
2026-09-09T14:28:01.632,1788944281.6325,4564,0,0.0,0,0.0
2026-09-09T14:28:01.644,1788944281.6446,4565,0,0.0,0,0.0
2026-09-09T14:28:01.648,1788944281.6482,4566,0,0.0,0,0.0
2026-09-09T14:28:01.648,1788944281.6482,4567,0,0.0,0,0.0
2026-09-09T14:28:01.663,1788944281.6639,4568,0,0.0,0,0.0
2026-09-09T14:28:01.679,1788944281.6798,4569,0,0.0,0,0.0
2026-09-09T14:28:01.695,1788944281.6955,4570,0,0.0,0,0.0
2026-09-09T14:28:01.695,1788944281.6955,4571,0,0.0,0,0.0
2026-09-09T14:28:01.705,1788944281.7060,4572,0,0.0,0,0.0
2026-09-09T14:28:01.713,1788944281.7130,4573,0,0.0,0,0.0
2026-09-09T14:28:01.728,1788944281.7285,4574,0,0.0,0,0.0
2026-09-09T14:28:01.745,1788944281.7457,4575,0,0.0,0,0.0
2026-09-09T14:28:01.745,1788944281.7457,4576,0,0.0,0,0.0
2026-09-09T14:28:01.759,1788944281.7598,4577,0,0.0,0,0.0
2026-09-09T14:28:01.759,1788944281.7598,4578,0,0.0,0,0.0
2026-09-09T14:28:01.775,1788944281.7757,4579,0,0.0,0,0.0
2026-09-09T14:28:01.775,1788944281.7757,4580,0,0.0,0,0.0
2026-09-09T14:28:01.794,1788944281.7946,4581,0,0.0,0,0.0
2026-09-09T14:28:01.807,1788944281.8077,4582,0,0.0,0,0.0
2026-09-09T14:28:01.807,1788944281.8077,4583,0,0.0,0,0.0
2026-09-09T14:28:01.823,1788944281.8237,4584,0,0.0,0,0.0
2026-09-09T14:28:01.839,1788944281.8395,4585,0,0.0,0,0.0
2026-09-09T14:28:01.855,1788944281.8552,4586,0,0.0,0,0.0
2026-09-09T14:28:01.855,1788944281.8552,4587,0,0.0,0,0.0
2026-09-09T14:28:01.871,1788944281.8712,4588,0,0.0,0,0.0
2026-09-09T14:28:01.871,1788944281.8712,4589,0,0.0,0,0.0
2026-09-09T14:28:01.887,1788944281.8876,4590,0,0.0,0,0.0
2026-09-09T14:28:01.903,1788944281.9036,4591,0,0.0,0,0.0
2026-09-09T14:28:01.903,1788944281.9036,4592,0,0.0,0,0.0
2026-09-09T14:28:01.919,1788944281.9197,4593,0,0.0,0,0.0
2026-09-09T14:28:01.919,1788944281.9197,4594,0,0.0,0,0.0
2026-09-09T14:28:01.945,1788944281.9460,4595,0,0.0,0,0.0
2026-09-09T14:28:01.951,1788944281.9516,4596,0,0.0,0,0.0
2026-09-09T14:28:01.951,1788944281.9516,4597,0,0.0,0,0.0
2026-09-09T14:28:01.967,1788944281.9674,4598,0,0.0,0,0.0
2026-09-09T14:28:01.983,1788944281.9832,4599,0,0.0,0,0.0
2026-09-09T14:28:01.983,1788944281.9832,4600,0,0.0,0,0.0
2026-09-09T14:28:02.000,1788944282.0001,4601,0,0.0,0,0.0
2026-09-09T14:28:02.000,1788944282.0001,4602,0,0.0,0,0.0
2026-09-09T14:28:02.015,1788944282.0151,4603,0,0.0,0,0.0
2026-09-09T14:28:02.030,1788944282.0308,4604,0,0.0,0,0.0
2026-09-09T14:28:02.030,1788944282.0308,4605,0,0.0,0,0.0
2026-09-09T14:28:02.046,1788944282.0461,4606,0,0.0,0,0.0
2026-09-09T14:28:02.061,1788944282.0617,4607,0,0.0,0,0.0
2026-09-09T14:28:02.061,1788944282.0617,4608,0,0.0,0,0.0
2026-09-09T14:28:02.077,1788944282.0776,4609,0,0.0,0,0.0
